RegionName,SiteName,ProjectStatus,PowerTopology,Day,Grid RH,Grid KWh,Grid Availability Hr,Gen RH,Gen KWh,Generator Working H,SiteOnBattery RH,BatteryCharge KWh,BatteryDischarge KWh,Solar RH,SolarWithBB RH,SolarWithGrid RH,SolarWithGen RH,Solar KWh,TotalPower RH,TotalPower KWh,SiteDown H,Total Hours,No Comm. H,Network Availability H,Tenants KWh,AVG Tenants KW,TotalDC KWh,AVG TotalDC KW,EnergySurplus KWh,FuelConsumption L (W Drop),FuelConsumption L (W/O Drop),Fuel Drop L,Refuel L,FuelConsumptionRate L/h (W/O Drop),Fuel Level L,Total AC Supply KWh,Total DC Supply KWh,TotalRectifier KWh,PUE,PUE Status,
Adamawa,IHS_GAR_349M,SLA_IENG,Solar-AER-Grid-Gen-Lithium,2026-06-04,0.05,48.47,0,12.6,48.27,12.6,11.35,0,0,0,0,0,0,0,24,96.74,0,24,0,24,41.16,1.71,41.16,1.71,55.59,22.57,22.57,0,0,1.79,104.4,96.74,0,0,2.35,Abnormal,
Adamawa,IHS_GAR_349M,SLA_IENG,Solar-AER-Grid-Gen-Lithium,2026-06-05,0.01,50.04,0,12.88,50,12.88,11.11,0,0,0,0,0,0,0,24,100.04,0,24,0,24,40.8,1.7,40.8,1.7,59.24,22.1,22.1,0,175.9,1.72,258.2,100.04,0,0,2.45,Abnormal,
Adamawa,IHS_GAR_349M,SLA_IENG,Solar-AER-Grid-Gen-Lithium,2026-06-06,0.1,46.72,0,12.38,46.35,12.38,11.52,0,0,0,0,0,0,0,24,93.07,0,24,0,24,41.02,1.71,41.02,1.71,52.05,21.57,21.57,0,0,1.74,236.6,93.07,0,0,2.27,Abnormal,
Adamawa,IHS_GAR_349M,SLA_IENG,Solar-AER-Grid-Gen-Lithium,2026-06-07,0.01,51.64,0,12.96,51.59,12.96,11.03,0,0,0,0,0,0,0,24,103.23,0,24,0,24,41.99,1.75,41.99,1.75,61.24,23.1,23.1,0,0,1.78,213.5,103.23,0,0,2.46,Abnormal,
Adamawa,IHS_GAR_349M,SLA_IENG,Solar-AER-Grid-Gen-Lithium,2026-06-08,1.4,49.88,0,12.24,44.76,12.24,10.36,0,0,0,0,0,0,0,24,94.64,0,24,0,24,42.38,1.77,42.38,1.77,52.26,21.87,21.87,0,0,1.79,191.6,94.64,0,0,2.23,Abnormal,
Adamawa,IHS_NGD_001O,SLA_IENG,Grid-Gen,2026-06-04,24,126.58,24,0,0,0,0,0,0,0,0,0,0,0,24,126.58,0,24,0,24,117.96,4.92,117.96,4.92,8.62,0,0,0,0,0,0,126.58,0,0,1.07,Abnormal,
Adamawa,IHS_NGD_001O,SLA_IENG,Grid-Gen,2026-06-05,23.87,134.48,23.87,0,0,0,0.13,0,0,0,0,0,0,0,24,134.48,0,24,0,24,116.37,4.85,116.37,4.85,18.11,0,0,0,0,0,0,134.48,0,0,1.16,Abnormal,
Adamawa,IHS_NGD_001O,SLA_IENG,Grid-Gen,2026-06-06,23.94,132.07,23.94,0,0,0,0.06,0,0,0,0,0,0,0,24,132.07,0,24,0,24,118.83,4.95,118.83,4.95,13.24,0,0,0,0,0,0,132.07,0,0,1.11,Abnormal,
Adamawa,IHS_NGD_001O,SLA_IENG,Grid-Gen,2026-06-07,23.94,127.14,23.94,0,0,0,0.06,0,0,0,0,0,0,0,24,127.14,0,24,0,24,113.4,4.73,113.4,4.73,13.74,0,0,0,0,0,0,127.14,0,0,1.12,Abnormal,
Adamawa,IHS_NGD_001O,SLA_IENG,Grid-Gen,2026-06-08,22.95,123.37,22.95,0,0,0,1.05,0,0,0,0,0,0,0,24,123.37,0,24,0,24,113.6,4.73,113.6,4.73,9.77,0,0,0,0,0,0,123.37,0,0,1.09,Abnormal,
Adamawa,IHS_NGD_002M,SLA_IENG,Grid-Gen,2026-06-04,23.84,118.9,0,0.16,0.79,0.16,0,0,0,0,0,0,0,0,24,119.69,0,24,0,24,179.62,7.48,179.62,7.48,-59.93,1,1,0,0,6.3,226.7,119.69,0,0,0.67,Abnormal,
Adamawa,IHS_NGD_002M,SLA_IENG,Grid-Gen,2026-06-05,16.06,94.74,0,7.93,31.33,7.93,0.01,0,0,0,0,0,0,0,24,126.07,0,24,0,24,178.83,7.45,178.83,7.45,-52.76,23.7,23.7,0,0,2.99,203,126.07,0,0,0.7,Abnormal,
Adamawa,IHS_NGD_002M,SLA_IENG,Grid-Gen,2026-06-06,23.79,121.12,0,0.2,1.03,0.2,0,0,0,0,0,0,0,0,24,122.15,0,24,0,24,181.42,7.56,181.42,7.56,-59.27,1,1,0,96,4.89,298,122.15,0,0,0.67,Abnormal,
Adamawa,IHS_NGD_002M,SLA_IENG,Grid-Gen,2026-06-07,18.26,96.3,0,5.74,23.03,5.74,0,0,0,0,0,0,0,0,24,119.34,0,24,0,24,175.92,7.33,175.92,7.33,-56.59,21.8,21.8,0,0,3.8,276.2,119.34,0,0,0.68,Abnormal,
Adamawa,IHS_NGD_002M,SLA_IENG,Grid-Gen,2026-06-08,11.41,76.96,0,12.58,40.35,12.58,0.01,0,0,0,0,0,0,0,24,117.31,0,24,0,24,176.07,7.34,176.07,7.34,-58.76,40.6,40.6,0,0,3.23,235.6,117.31,0,0,0.67,Abnormal,
Adamawa,IHS_NGD_003O,SLA_IENG,Grid-Gen,2026-06-04,0,232.93,0,0,0,0,0,0,0,0,0,0,0,0,0,232.93,0,0,0,24,223.37,9.31,223.37,9.31,9.56,0,0,0,0,0,301.4,232.93,0,0,1.04,Abnormal,
Adamawa,IHS_NGD_003O,SLA_IENG,Grid-Gen,2026-06-05,0,228.11,0,0,0,0,0,0,0,0,0,0,0,0,0,228.11,0,0,0,24,219.89,9.16,219.89,9.16,8.22,29.5,29.5,0,0,0,271.9,228.11,0,0,1.04,Abnormal,
Adamawa,IHS_NGD_003O,SLA_IENG,Grid-Gen,2026-06-06,0,228.09,0,0,0,0,0,0,0,0,0,0,0,0,0,228.09,0,0,0,24,218.53,9.11,218.53,9.11,9.56,0.93,0.93,0,0,0,270.97,228.09,0,0,1.04,Abnormal,
Adamawa,IHS_NGD_003O,SLA_IENG,Grid-Gen,2026-06-07,0,220.79,0,0,0,0,0,0,0,0,0,0,0,0,0,220.79,0,0,0,24,212.31,8.85,212.31,8.85,8.48,16.1,16.1,0,0,0,254.8,220.79,0,0,1.04,Abnormal,
Adamawa,IHS_NGD_003O,SLA_IENG,Grid-Gen,2026-06-08,0,222.73,0,0,0,0,0,0,0,0,0,0,0,0,0,222.73,0,0,0,24,214.95,8.96,214.95,8.96,7.77,51.87,51.87,0,0,0,202.23,222.73,0,0,1.04,Abnormal,
Adamawa,IHS_NGD_006O,SLA_IENG,Grid-Gen,2026-06-04,23.99,198.86,0,0.01,0.1,0.01,0,0,0,0,0,0,0,0,24,198.95,0,24,0,24,186.05,7.75,186.05,7.75,12.9,0.03,0.03,0,0,2.57,0,198.95,0,0,1.07,Abnormal,
Adamawa,IHS_NGD_006O,SLA_IENG,Grid-Gen,2026-06-05,16.17,194.16,0,7.83,63.31,7.83,0,0,0,0,0,0,0,0,24,257.47,0,24,0,24,179.25,7.47,179.25,7.47,78.22,18.78,18.78,0,0,2.4,0,257.47,0,0,1.44,Abnormal,
Adamawa,IHS_NGD_006O,SLA_IENG,Grid-Gen,2026-06-06,23.78,196.62,0,0.22,1.79,0.22,0,0,0,0,0,0,0,0,24,198.41,0,24,0,24,186.94,7.79,186.94,7.79,11.47,0.52,0.52,0,0,2.38,0,198.41,0,0,1.06,Abnormal,
Adamawa,IHS_NGD_006O,SLA_IENG,Grid-Gen,2026-06-07,18.27,195.5,0,5.73,46.67,5.73,0,0,0,0,0,0,0,0,24,242.17,0,24,0,24,177.21,7.38,177.21,7.38,64.96,13.75,13.75,0,0,2.4,0,242.17,0,0,1.37,Abnormal,
Adamawa,IHS_NGD_006O,SLA_IENG,Grid-Gen,2026-06-08,11.42,188.9,0,12.47,98.61,12.47,0.11,0,0,0,0,0,0,0,24,287.51,0,24,0,24,169.6,7.07,169.6,7.07,117.91,29.93,29.93,0,0,2.4,0,287.51,0,0,1.7,Abnormal,
Adamawa,IHS_NGD_007O,SLA_IENG,Grid-Gen,2026-06-04,23.99,181.57,23.99,0.01,0.06,0.01,0,0,0,0,0,0,0,0,24,181.63,0,24,0,24,170.77,7.12,170.77,7.12,10.86,4.63,4.63,0,141.3,617.33,338.67,181.63,0,0,1.06,Abnormal,
Adamawa,IHS_NGD_007O,SLA_IENG,Grid-Gen,2026-06-05,16.24,184.38,16.24,7.06,55.85,7.06,0.7,0,0,0,0,0,0,0,24,240.23,0.53,24.53,0,24,179.29,7.47,179.29,7.47,60.94,20.23,20.23,0,0,2.87,318.4,240.23,0,0,1.34,Abnormal,
Adamawa,IHS_NGD_007O,SLA_IENG,Grid-Gen,2026-06-06,23.91,185.88,23.91,0.09,0.67,0.09,0,0,0,0,0,0,0,0,24,186.55,0.02,24.02,0,24,178.49,7.44,178.49,7.44,8.06,1,1,0,0,11.54,317.4,186.55,0,0,1.05,Abnormal,
Adamawa,IHS_NGD_007O,SLA_IENG,Grid-Gen,2026-06-07,18.32,182.05,18.32,5.64,42.84,5.64,0.05,0,0,0,0,0,0,0,24,224.9,0,24,0,24,174.87,7.29,174.87,7.29,50.03,16.9,16.9,0,0,3,300.5,224.9,0,0,1.29,Abnormal,
Adamawa,IHS_NGD_007O,SLA_IENG,Grid-Gen,2026-06-08,11.55,164.46,11.55,12.44,85.26,12.44,0.01,0,0,0,0,0,0,0,24,249.72,0,24,0,24,175.43,7.31,175.43,7.31,74.29,35.27,35.27,0,0,2.84,265.23,249.72,0,0,1.42,Abnormal,
Adamawa,IHS_NGD_008M,SLA_IENG,Grid-Gen,2026-06-04,23.98,148.21,0,0,0,0,0,0,0,0,0,0,0,0,23.98,148.21,0,23.98,0,24,142.49,5.94,142.49,5.94,5.72,0,0,0,114.1,0,336.5,148.21,0,0,1.04,Abnormal,
Adamawa,IHS_NGD_008M,SLA_IENG,Grid-Gen,2026-06-05,19.09,147.2,0,4.88,29.99,4.88,0.03,0,0,0,0,0,0,0,24,177.19,0,24,0,24,140.21,5.84,140.21,5.84,36.98,6.8,6.8,0,0,1.39,329.7,177.19,0,0,1.26,Abnormal,
Adamawa,IHS_NGD_008M,SLA_IENG,Grid-Gen,2026-06-06,23.81,146.11,0,0.17,1.04,0.17,0.01,0,0,0,0,0,0,0,23.99,147.15,0,23.99,0,24,139.35,5.81,139.35,5.81,7.8,0.03,0.03,0,0,0.18,329.67,147.15,0,0,1.06,Abnormal,
Adamawa,IHS_NGD_008M,SLA_IENG,Grid-Gen,2026-06-07,18.11,146.4,0,5.85,35.73,5.85,0.02,0,0,0,0,0,0,0,23.97,182.12,0,23.97,0,24,139.84,5.83,139.84,5.83,42.28,10.86,10.86,0,0,1.86,318.77,182.12,0,0,1.3,Abnormal,
Adamawa,IHS_NGD_008M,SLA_IENG,Grid-Gen,2026-06-08,11.33,146.22,0,12.61,77.01,12.61,0.02,0,0,0,0,0,0,0,23.96,223.22,0,23.96,0,24,140.17,5.84,140.17,5.84,83.05,21.54,21.54,0,0,1.71,297.2,223.22,0,0,1.59,Abnormal,
Adamawa,IHS_NGD_009M,SLA_IENG,Grid-Gen,2026-06-04,0,73.27,0,24,73.27,24,0,0,0,0,0,0,0,0,24,146.53,0,24,0,24,42.6,1.77,42.6,1.77,103.94,0,0,0,0,0,122,146.53,0,0,3.44,Abnormal,
Adamawa,IHS_NGD_009M,SLA_IENG,Grid-Gen,2026-06-05,0,49.14,0,10.28,49.14,10.28,0.71,0,0,0,0,0,0,0,10.99,98.27,0,10.99,0,24,29.53,1.23,29.53,1.23,68.74,8,8,0,98,0.78,212,98.27,0,0,3.33,Abnormal,
Adamawa,IHS_NGD_009M,SLA_IENG,Grid-Gen,2026-06-06,0,51.97,0,0.66,51.97,0.66,0.66,0,0,0,0,0,0,0,1.32,103.93,0,1.32,0,24,30.37,1.27,30.37,1.27,73.56,0,0,0,0,0,212,103.93,0,0,3.42,Abnormal,
Adamawa,IHS_NGD_009M,SLA_IENG,Grid-Gen,2026-06-07,0,39.94,0,24,39.94,24,5.23,0,0,0,0,0,0,0,29.23,79.88,0,29.23,0,19.56,23.88,1,23.88,1,56,4.59,4.59,0,0,0.19,207.41,79.88,0,0,3.35,Abnormal,
Adamawa,IHS_NGD_009M,SLA_IENG,Grid-Gen,2026-06-08,0,28.59,0,24,28.59,24,0,0,0,0,0,0,0,0,24,57.17,0,24,0,13.64,15.98,0.67,15.98,0.67,41.19,17.84,17.84,0,0,0.74,189.16,57.17,0,0,3.58,Abnormal,
Adamawa,IHS_NGD_010O,SLA_IENG,Grid-Gen,2026-06-04,23.96,89.83,0,0.04,0.15,0.04,0,0,0,0,0,0,0,0,24,89.98,0,24,0,24,103.36,4.31,103.36,4.31,-13.38,0.06,0.06,0,0,1.52,0,89.98,0,0,0.87,Abnormal,
Adamawa,IHS_NGD_010O,SLA_IENG,Grid-Gen,2026-06-05,19.49,102.13,0,4.51,19.19,4.51,0,0,0,0,0,0,0,0,24,121.32,0,24,0,24,101.11,4.21,101.11,4.21,20.21,7.08,7.08,0,0,1.57,0,121.32,0,0,1.2,Abnormal,
Adamawa,IHS_NGD_010O,SLA_IENG,Grid-Gen,2026-06-06,23.95,96.45,0,0.05,0.21,0.05,0,0,0,0,0,0,0,0,24,96.66,0,24,0,24,101.49,4.23,101.49,4.23,-4.83,0.08,0.08,0,0,1.53,0,96.66,0,0,0.95,Abnormal,
Adamawa,IHS_NGD_010O,SLA_IENG,Grid-Gen,2026-06-07,18.39,93.22,0,5.61,21.79,5.61,0,0,0,0,0,0,0,0,24,115.01,0,24,0,24,101.79,4.24,101.79,4.24,13.22,8.81,8.81,0,0,1.57,0,115.01,0,0,1.13,Abnormal,
Adamawa,IHS_NGD_010O,SLA_IENG,Grid-Gen,2026-06-08,11.44,93.23,0,12.56,48.79,12.56,0,0,0,0,0,0,0,0,24,142.03,0,24,0,24,100.26,4.18,100.26,4.18,41.77,19.72,19.72,0,0,1.57,0,142.03,0,0,1.42,Abnormal,
Adamawa,IHS_NGD_011O,SLA_IENG,Grid-Gen,2026-06-04,23.98,212.33,0,0,0,0,0.02,0,0,0,0,0,0,0,24,212.33,24,48,0,24,0.23,0.01,0.23,0.01,212.1,0,0,0,0,0,0,212.33,0,0,929.45,Abnormal,
Adamawa,IHS_NGD_011O,SLA_IENG,Grid-Gen,2026-06-05,12.98,202.46,0,11.01,92.95,11.01,0.01,0,0,0,0,0,0,0,24,295.41,0,24,0,24,0.22,0.01,0.22,0.01,295.19,110.15,110.15,0,0,10,0,295.41,0,0,1317.95,Abnormal,
Adamawa,IHS_NGD_011O,SLA_IENG,Grid-Gen,2026-06-06,23.88,208.53,0,0.1,0.9,0.1,0.02,0,0,0,0,0,0,0,24,209.42,0,24,0,24,0.25,0.01,0.25,0.01,209.17,1.03,1.03,0,0,10,0,209.42,0,0,829.7,Abnormal,
